process,check,covered_by_G0,sensor,predicted_effect,predicted_below_0.90_on,known,reason
bleed-through,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through adds or moves no dark pixel inside an emptied field relative to the blank."
bleed-through,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through puts no dark pixel in a box's central disc that the blank lacks."
bleed-through,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through leaves no added component over 342 px in the band and does not break the synthetic stroke."
bleed-through,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through leaves the 8 printed digits of the date readable."
bleed-through,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through leaves the street name tokens readable on both pieces."
bleed-through,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through leaves 999-99-9999 readable above 0.7214."
bleed-through,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through does not bias the height-based scale estimate by 1%."
bleed-through,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through does not shrink the registered frame extent."
bleed-through,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"The X2 kit is printed one side per sheet; if A3's default pipeline draws a bleed-through, its ghost is lighter than grey 128 and every ink sensor is differential at 128. OCR is not predicted to read a faint mirrored ghost as characters. For this check, bleed-through does not change which quarter turn registers best."
binding holes and staples,required_field,no,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples adds or moves no dark pixel inside an emptied field relative to the blank."
binding holes and staples,required_checkbox,no,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples puts no dark pixel in a box's central disc that the blank lacks."
binding holes and staples,signature,no,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples leaves no added component over 342 px in the band and does not break the synthetic stroke."
binding holes and staples,expiry,no,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples leaves the 8 printed digits of the date readable."
binding holes and staples,consistency,no,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples leaves the street name tokens readable on both pieces."
binding holes and staples,forbidden_value,no,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples leaves 999-99-9999 readable above 0.7214."
binding holes and staples,resolution,no,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples does not bias the height-based scale estimate by 1%."
binding holes and staples,cropped_page,no,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples does not shrink the registered frame extent."
binding holes and staples,rotated_page,no,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"Only A3 (BindingsAndFasteners) draws punch holes, clips or staples, at a page edge; no watched zone sits within the edge band and the dark shapes are too small against the whole page to move the registration peak. For this check, binding holes and staples does not change which quarter turn registers best."
ink loss (faded or broken print),required_field,partly,ink added in the field vs the blank at level 128 (text_sensor=ink); fires below 0.345% of the zone,none,none,false,"Added to the list of the plan: Augraphy's Letterpress (in the plan's list) removes ink from printed strokes; G0's noise, blur and JPEG soften strokes but never remove ink. For this check, ink loss (faded or broken print) adds or moves no dark pixel inside an emptied field relative to the blank."
ink loss (faded or broken print),required_checkbox,partly,ink added in a central disc (radius 0.30 of the side) at level 128; fires below +14.375,none,none,false,"Added to the list of the plan: Augraphy's Letterpress (in the plan's list) removes ink from printed strokes; G0's noise, blur and JPEG soften strokes but never remove ink. For this check, ink loss (faded or broken print) puts no dark pixel in a box's central disc that the blank lacks."
ink loss (faded or broken print),signature,partly,largest added connected component at level 128 (components); fires when its diagonal is below 342.05 canonical px,false_alarm,A3,false,"Letterpress breaks the synthetic stroke into pieces; a single break near the middle of a 680 px stroke leaves a largest component near 340 px, under the 342 px threshold, so a signed I-9 reads as unsigned."
ink loss (faded or broken print),expiry,partly,"page OCR (psm 11, min_conf 0); exactly 8 digits parsed as a date; fires when days past > 0",miss,A3,false,"A broken digit splits into two characters or disappears; the rule needs exactly 8 digits, otherwise it abstains, which is a miss on the expired instances. G0 never removed ink and read 1.000."
ink loss (faded or broken print),consistency,partly,zone OCR (min_conf 0); worst-token similarity; fires when 1 - overlap > 0.3939,false_alarm,A3,false,Broken glyphs change one token's reading on one side of the pair and the worst-token similarity drops under 0.606 on clean dossiers.
ink loss (faded or broken print),forbidden_value,partly,page OCR (min_conf 0); best n-gram similarity to the value; fires above 0.7214,miss,A3,false,"One wrong character of nine keeps the similarity near 0.89, three or more fall under 0.7214; predicted often enough on A3 to pull recall under 0.90."
ink loss (faded or broken print),resolution,partly,source dpi estimated from the registration scale (base scale = page height ratio); fires below 148.5,none,none,false,"Added to the list of the plan: Augraphy's Letterpress (in the plan's list) removes ink from printed strokes; G0's noise, blur and JPEG soften strokes but never remove ink. For this check, ink loss (faded or broken print) does not bias the height-based scale estimate by 1%."
ink loss (faded or broken print),cropped_page,partly,1 - share of the blank's ink inside the registered frame extent; fires above 0.0879,none,none,false,"Added to the list of the plan: Augraphy's Letterpress (in the plan's list) removes ink from printed strokes; G0's noise, blur and JPEG soften strokes but never remove ink. For this check, ink loss (faded or broken print) does not shrink the registered frame extent."
ink loss (faded or broken print),rotated_page,partly,orientation margin (peak of chosen quarter turn minus peak of quarter 0); fires above 0.3585,none,none,false,"Added to the list of the plan: Augraphy's Letterpress (in the plan's list) removes ink from printed strokes; G0's noise, blur and JPEG soften strokes but never remove ink. For this check, ink loss (faded or broken print) does not change which quarter turn registers best."
